# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.251955382424e-01       4.530872484203e+03 
       1.284035993342e-01       4.429966507121e+03 
       1.316117603258e-01       4.317808190426e+03 
       1.348199851665e-01       4.192549270919e+03 
       1.380282517674e-01       4.055370139837e+03 
       1.412365465294e-01       3.909040887534e+03 
       1.444448610209e-01       3.757693446549e+03 
       1.476531899603e-01       3.606210203738e+03 
       1.508615299907e-01       3.459385595251e+03 
       1.540698789348e-01       3.321428435052e+03 
       1.572782353419e-01       3.195534669317e+03 
       1.604865982123e-01       3.083987464545e+03 
       1.636949668289e-01       2.987509306882e+03 
       1.669033406543e-01       2.905802493786e+03 
       1.701117192675e-01       2.837628276934e+03 
       1.733201023251e-01       2.780919784454e+03 
       1.765284895368e-01       2.733018072290e+03 
       1.797368806504e-01       2.691138643620e+03 
       1.829452754419e-01       2.652661478135e+03 
       1.861536737093e-01       2.615142898303e+03 
       1.893620752681e-01       2.575833029204e+03 
       1.925704799487e-01       2.533196651639e+03 
       1.957788875940e-01       2.486291413261e+03 
       1.989872980580e-01       2.434890251788e+03 
       2.021957112047e-01       2.379679368931e+03 
       2.054041269069e-01       2.321683739396e+03 
       2.086125450455e-01       2.262525666209e+03 
       2.118209655087e-01       2.203685910290e+03 
       2.150293881915e-01       2.146641383706e+03 
       2.182378129954e-01       2.092596395141e+03 
       2.214462398273e-01       2.042410444858e+03 
       2.246546685998e-01       1.996667634636e+03 
       2.278630992304e-01       1.955666338299e+03 
       2.310715316410e-01       1.919347967444e+03 
       2.342799657580e-01       1.887330403539e+03 
       2.374884015118e-01       1.859085838894e+03 
       2.406968388366e-01       1.833827762299e+03 
       2.439052776699e-01       1.810636460350e+03 
       2.471137179525e-01       1.788633120201e+03 
       2.503221596284e-01       1.766984851271e+03 
       2.535306026445e-01       1.745005032066e+03 
       2.567390469500e-01       1.722228126672e+03 
       2.599474924970e-01       1.698407519500e+03 
       2.631559392398e-01       1.673460135153e+03 
       2.663643871349e-01       1.647502295256e+03 
       2.695728361409e-01       1.620776940181e+03 
       2.727812862184e-01       1.593683536646e+03 
       2.759897373299e-01       1.566595406598e+03 
       2.791981894394e-01       1.540069313348e+03 
       2.824066425128e-01       1.514463896581e+03 
       2.856150965174e-01       1.490158075256e+03 
       2.888235514220e-01       1.467399555741e+03 
       2.920320071967e-01       1.446280127903e+03 
       2.952404638131e-01       1.426787284352e+03 
       2.984489212438e-01       1.408800933677e+03 
       3.016573794628e-01       1.392112566409e+03 
       3.048658384450e-01       1.376499261781e+03 
       3.080742981665e-01       1.361709627526e+03 
       3.112827586042e-01       1.347489580631e+03 
       3.144912197361e-01       1.333599533156e+03 
       3.176996815412e-01       1.319831174184e+03 
       3.209081439991e-01       1.305987170552e+03 
       3.241166070903e-01       1.291951340232e+03 
       3.273250707961e-01       1.277685960639e+03 
       3.305335350985e-01       1.263195480646e+03 
       3.337419999803e-01       1.248597388667e+03 
       3.369504654248e-01       1.234005856796e+03 
       3.401589314160e-01       1.219486370940e+03 
       3.433673979385e-01       1.205220080628e+03 
       3.465758649775e-01       1.191299128371e+03 
       3.497843325188e-01       1.177815515351e+03 
       3.529928005485e-01       1.164841077250e+03 
       3.562012690534e-01       1.152422770573e+03 
       3.594097380207e-01       1.140584227648e+03 
       3.626182074381e-01       1.129322712934e+03 
       3.658266772937e-01       1.118578521345e+03 
       3.690351475760e-01       1.108282964222e+03 
       3.722436182740e-01       1.098359825723e+03 
       3.754520893768e-01       1.088720228025e+03 
       3.786605608743e-01       1.079282225705e+03 
       3.818690327564e-01       1.069955826212e+03 
       3.850775050135e-01       1.060732746711e+03 
       3.882859776361e-01       1.051568119793e+03 
       3.914944506154e-01       1.042445005975e+03 
       3.947029239426e-01       1.033356569344e+03 
       3.979113976091e-01       1.024308585381e+03 
       4.011198716069e-01       1.015316793362e+03 
       4.043283459280e-01       1.006409894277e+03 
       4.075368205648e-01       9.976211008500e+02 
       4.107452955098e-01       9.889893175630e+02 
       4.139537707559e-01       9.805446817008e+02 
       4.171622462960e-01       9.723074728405e+02 
       4.203707221234e-01       9.642874540303e+02 
       4.235791982315e-01       9.564870305956e+02 
       4.267876746141e-01       9.488992592217e+02 
       4.299961512649e-01       9.415166288092e+02 
       4.332046281779e-01       9.343302860126e+02 
       4.364131053474e-01       9.273218914840e+02 
       4.396215827677e-01       9.204813518844e+02 
       4.428300604334e-01       9.137840316491e+02 
       4.460385383390e-01       9.072086007658e+02 
       4.492470164795e-01       9.007317495342e+02 
       4.524554948499e-01       8.943338522265e+02 
       4.556639734453e-01       8.880029701424e+02 
       4.588724522608e-01       8.817339156505e+02 
       4.620809312921e-01       8.755269570013e+02 
       4.652894105345e-01       8.693850501562e+02 
       4.684978899836e-01       8.633124660421e+02 
       4.717063696354e-01       8.573125942630e+02 
       4.749148494856e-01       8.513902786168e+02 
       4.781233295303e-01       8.455517868302e+02 
       4.813318097655e-01       8.398057051702e+02 
       4.845402901875e-01       8.341594146229e+02 
       4.877487707925e-01       8.286204391074e+02 
       4.909572515770e-01       8.231931528267e+02 
       4.941657325374e-01       8.178764290541e+02 
       4.973742136703e-01       8.126639855827e+02 
       5.005826949724e-01       8.075471658077e+02 
       5.037911764405e-01       8.025186030501e+02 
       5.069996580714e-01       7.975693375954e+02 
       5.102081398620e-01       7.926938565042e+02 
       5.134166218093e-01       7.878861855352e+02 
       5.166251039103e-01       7.831431586449e+02 
       5.198335861624e-01       7.784590695558e+02 
       5.230420685625e-01       7.738281465858e+02 
       5.262505511081e-01       7.692467988145e+02 
       5.294590337964e-01       7.647132281404e+02 
       5.326675166249e-01       7.602283751673e+02 
       5.358759995911e-01       7.557954168603e+02 
       5.390844826925e-01       7.514178626535e+02 
       5.422929659266e-01       7.470984948851e+02 
       5.455014492912e-01       7.428377208747e+02 
       5.487099327840e-01       7.386367488706e+02 
       5.519184164026e-01       7.344924936456e+02 
       5.551269001449e-01       7.304043043376e+02 
       5.583353840088e-01       7.263716053044e+02 
       5.615438679922e-01       7.223954439938e+02 
       5.647523520931e-01       7.184745497267e+02 
       5.679608363093e-01       7.146080500792e+02 
       5.711693206391e-01       7.107936286729e+02 
       5.743778050804e-01       7.070277281164e+02 
       5.775862896315e-01       7.033068438193e+02 
       5.807947742905e-01       6.996278486828e+02 
       5.840032590556e-01       6.959899436663e+02 
       5.872117439250e-01       6.923924096391e+02 
       5.904202288971e-01       6.888350948008e+02 
       5.936287139703e-01       6.853175846571e+02 
       5.968371991427e-01       6.818386897841e+02 
       6.000456844130e-01       6.783967957150e+02 
       6.032541697794e-01       6.749904909749e+02 
       6.064626552405e-01       6.716192315374e+02 
       6.096711407948e-01       6.682833575996e+02 
       6.128796264407e-01       6.649839658582e+02 
       6.160881121770e-01       6.617221105431e+02 
       6.192965980021e-01       6.584973586848e+02 
       6.225050839147e-01       6.553108890596e+02 
       6.257135699134e-01       6.521603669127e+02 
       6.289220559969e-01       6.490433953468e+02 
       6.321305421639e-01       6.459593348167e+02 
       6.353390284132e-01       6.429078259905e+02 
       6.385475147435e-01       6.398885919735e+02 
       6.417560011536e-01       6.369017998043e+02 
       6.449644876423e-01       6.339467255030e+02 
       6.481729742084e-01       6.310221358539e+02 
       6.513814608508e-01       6.281263886206e+02 
       6.545899475683e-01       6.252576919544e+02 
       6.577984343599e-01       6.224158831834e+02 
       6.610069212244e-01       6.196004355109e+02 
       6.642154081609e-01       6.168118427642e+02 
       6.674238951682e-01       6.140506351487e+02 
       6.706323822454e-01       6.113186645683e+02 
       6.738408693914e-01       6.086102775345e+02 
       6.770493566053e-01       6.059272434618e+02 
       6.802578438861e-01       6.032686332452e+02 
       6.834663312329e-01       6.006340740794e+02 
       6.866748186447e-01       5.980237179679e+02 
       6.898833061206e-01       5.954376744310e+02 
       6.930917936598e-01       5.928762425725e+02 
       6.963002812613e-01       5.903390907806e+02 
       6.995087689243e-01       5.878255864463e+02 
       7.027172566479e-01       5.853347052775e+02 
       7.059257444314e-01       5.828656521157e+02 
       7.091342322739e-01       5.804175799827e+02 
       7.123427201746e-01       5.779905369629e+02 
       7.155512081327e-01       5.755846313060e+02 
       7.187596961475e-01       5.731998899937e+02 
       7.219681842182e-01       5.708360564085e+02 
       7.251766723441e-01       5.684924832838e+02 
       7.283851605243e-01       5.661683055772e+02 
       7.315936487583e-01       5.638628645128e+02 
       7.348021370453e-01       5.615759936433e+02 
       7.380106253845e-01       5.593076211793e+02 
       7.412191137754e-01       5.570578823017e+02 
       7.444276022173e-01       5.548252342198e+02 
       7.476360907095e-01       5.526129616019e+02 
       7.508445792513e-01       5.504187621830e+02 
       8.198502223185e-01       5.070823399629e+02 
       9.193585469958e-01       4.549396948983e+02 
       1.077121074446e+00       3.893697024507e+02 
       1.327451770204e+00       3.121725542304e+02 
       1.668695915686e+00       2.382839649997e+02 
       2.100719253549e+00       1.751445143799e+02 
       2.644648695791e+00       1.239299844090e+02 
       3.329415448324e+00       8.464426292027e+01 
       4.191485714315e+00       5.607933627316e+01 
       5.276767878924e+00       3.623554336028e+01 
       6.643057174916e+00       2.295067183992e+01 
       8.363113489504e+00       1.431204090361e+01 
