# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.123662025107e-01       4.793614417006e+03 
       1.155727580206e-01       4.665546370508e+03 
       1.187799896541e-01       4.554153180818e+03 
       1.219876360731e-01       4.449952114882e+03 
       1.251955382424e-01       4.344680821428e+03 
       1.284035993342e-01       4.231587772648e+03 
       1.316117603258e-01       4.106911391967e+03 
       1.348199851665e-01       3.968757954317e+03 
       1.380282517674e-01       3.818376871064e+03 
       1.412365465294e-01       3.658651661732e+03 
       1.444448610209e-01       3.493870714546e+03 
       1.476531899603e-01       3.329106141271e+03 
       1.508615299907e-01       3.169354959679e+03 
       1.540698789348e-01       3.019028588233e+03 
       1.572782353419e-01       2.881504372727e+03 
       1.604865982123e-01       2.759222110690e+03 
       1.636949668289e-01       2.652985834184e+03 
       1.669033406543e-01       2.562518093101e+03 
       1.701117192675e-01       2.486533712613e+03 
       1.733201023251e-01       2.422855530640e+03 
       1.765284895368e-01       2.368666949768e+03 
       1.797368806504e-01       2.321012549647e+03 
       1.829452754419e-01       2.277111732278e+03 
       1.861536737093e-01       2.234375374055e+03 
       1.893620752681e-01       2.189897308560e+03 
       1.925704799487e-01       2.142057987468e+03 
       1.957788875940e-01       2.089861218073e+03 
       1.989872980580e-01       2.033058742402e+03 
       2.021957112047e-01       1.972358249200e+03 
       2.054041269069e-01       1.908819909564e+03 
       2.086125450455e-01       1.844136554206e+03 
       2.118209655087e-01       1.779858453280e+03 
       2.150293881915e-01       1.717543270761e+03 
       2.182378129954e-01       1.658471872868e+03 
       2.214462398273e-01       1.603568829914e+03 
       2.246546685998e-01       1.553472349097e+03 
       2.278630992304e-01       1.508518726689e+03 
       2.310715316410e-01       1.468661189089e+03 
       2.342799657580e-01       1.433501825709e+03 
       2.374884015118e-01       1.402481174888e+03 
       2.406968388366e-01       1.374756136322e+03 
       2.439052776699e-01       1.349335798972e+03 
       2.471137179525e-01       1.325270576666e+03 
       2.503221596284e-01       1.301658561289e+03 
       2.535306026445e-01       1.277754205860e+03 
       2.567390469500e-01       1.253049098335e+03 
       2.599474924970e-01       1.227269533291e+03 
       2.631559392398e-01       1.200316727564e+03 
       2.663643871349e-01       1.172306487353e+03 
       2.695728361409e-01       1.143491700733e+03 
       2.727812862184e-01       1.114296910654e+03 
       2.759897373299e-01       1.085121025780e+03 
       2.791981894394e-01       1.056568120574e+03 
